recipe_id,ingredient_name
27,leftover  lamb
27,leftover gravy
27,leftover potatoes
27,cheese
27,mixed herbs
28,eggs
28,natural yogurt
28,vanilla extract
28,caster sugar
28,self-raising flour
28,almond
28,butter
28,butter
28,icing sugar
28,roll
28,few different  food colourings
28,extra icing
29,olive oil
29,pork sausages skins
29,fennel seeds
29,garlic
29,red chilli
29,lemon
29,cherry tomatoes
29,short pasta
29,grated parmesan
30,lemon
30,white chicory
30,butter
30,golden caster sugar
30,large chunks
30,all-butter puff pastry
31,greek yogurt
31,runny honey
31,blackberries
31,quantity blackberry
32,halloumi
32,flavourless oil
32,onion
32,garlic cloves crushed
32,thumb-sized piece
32,cumin
32,coriander
32,turmeric
32,chopped tomatoes
32,double cream
32,80g fresh or frozen baby spinach
32,sugar
32,garam masala
32,nigella seeds
32,cooked rice grains
33,olive oil
33,boneless leg
33,unsalted butter
33,flour
33,lamb stock
33,red wine
33,red onions
33,garlic
33,thyme
33,mashed potatoes
34,olive oil
34,onion
34,cauliflower
34,milk
34,vegetable stock
34,double cream
34,vacuum-packed chestnuts
34,grated parmesan
35,extra-lean beef mince
35,onion
35,baby chestnut mushroom
35,flour
35,beef stock
35,few shakes
35,self-raising flour
35,chopped thyme
35,low-fat natural yogurt
35,frozen peas
36,white bread
36,salted butter
36,harissa
36,garlic cloves grated
36,mature cheddar
36,mozzarella
37,olive oil
37,sage sprig leaves
37,garlic cloves crushed
37,onion
37,fennel bulb
37,butternut squash diced
37,cannellini beans
37,vegetable stock
37,tagliatelle
37,ricotta
38,dark chocolate
38,malted milk
38,butterscotch pudding whip
38,milk
38,bananas
38,caramel sauce
39,cumin
39,paprika
39,garlic powder
39,onion powder
39,oregano
39,cayenne pepper
39,raw prawns
39,vegetable oil
39,corn tortillas
39,ripe avocado
39,full-fat greek yogurt
39,spring onions
39,garlic clove
39,lime
39,coriander
39,white cabbage
39,lime juice
39,a small handful
40,cucumber
40,big celery stick
40,good handful
40,chilled unsweetened apple juice
40,a lime
41,gluten-free self-raising flour
41,cumin seeds
41,natural yogurt
42,vegetable oil
42,onion
42,garlic cloves crushed
42,2½cm piece
42,coriander
42,cumin
42,turmeric
42,fenugreek
42,chickpeas
42,vegetable stock
42,unsalted almond butter
42,spinach
42,cooked rice
43,ice
43,aperol
43,prosecco
43,angostura bitters
43,ginger beer
43,a rosemary sprig
44,maris piper potatoes
44,malt vinegar
44,vegetable oil
44,flour
44,cornflour
44,powder
44,cayenne
45,stale bread
45,olive oil
45,onion
45,garlic cloves crushed
45,chilli flakes
45,chopped tomatoes
45,frozen white fish fillets
45,butter beans
45,parsley
45,lemon
46,porcini mushrooms
46,wild mushroom
46,shallots
46,butter
46,olive oil
46,garlic clove
46,thyme sprigs
46,flour
46,brandy
46,hot beef stock
46,wholegrain mustard
46,crème fraîche
46,parsley
47,vodka
47,a scoop
47,prosecco
48,skin
48,spring onions
48,ginger
48,garlic clove
48,turmeric
48,chilli flakes
48,coriander seeds
48,crunchy dark roast peanut butter
48,coconut milk
48,soy sauce
48,cucumber
48,lime
48,red chilli
48,coriander leaves
48,coriander
48,salted peanuts
48,red chilli
48,lime
48,white rice
49,extra-virgin olive oil
49,mackerel
49,red chilli
49,garlic clove
49,root ginger
49,honey
49,limes
49,sesame oil
49,thai fish sauce
50,black forest frozen fruit mix
50,porridge oats
50,fortified soya yogurt
50,almond butter
50,85% dark chocolate
50,three-seed mix
50,mint
51,butter
51,brown sugar
51,golden syrup
51,flour
51,ginger
51,half a lemon zest
51,brandy
51,sunflower
52,garlic
52,cumin seed
52,1  lemon
52,olive oil
52,lamb leg chops
52,a cantaloupe  melon
52,spring onions
52,coriander
52,red chilli
52,small chunks
52,olive oil
52,1  lime
53,chipolata sausages
53,semi-dried tomato
53,macaroni
53,butter
53,spring onions
53,flour
53,semi-skimmed milk
53,extra-mature  cheddar
53,parmesan
53,rosemary sprigs
53,salad
54,ducks legs
54,five spice powder
54,rosemary sprigs
54,fat garlic
54,half a bottle
54,redcurrant
55,flour
55,cod loin fillets
55,olive oil
55,lemon
55,thyme
55,leeks
55,mushrooms
55,orzo
55,low-salt stock
55,crème fraîche
56,sunflower oil
56,polenta
56,nutmeg
56,unsalted butter
56,parmesan
56,herbs
57,asparagus
57,lemon
57,new potatoes
57,olive oil
57,little gem lettuces
57,peas
57,soft goat’s cheese
57,dill
58,milk
58,festive spice
58,a pinch
58,freshly brewed espresso
59,butter
59,2tbsp finely chopped parsley
59,garlic clove
59,butter
59,4tbsp freshly grated  parmesan
59,shredded basil
59,1tbsp finely chopped sundried tomato
59,butter
59,lime
59,red chilli
59,2tbsp chopped coriander
59,butter
59,2tbsp horseradish cream
59,coarsely crushed peppercorns
59,2tbsp chives
60,courgette
60,reduced-fat coconut milk
60,orange
60,vinegar
60,maple syrup
60,vanilla extract
60,cinnamon
60,mixed spice
60,powdered egg replacer
60,xanthan gum
60,gluten-free baking powder
60,gluten-free plain flour
60,sunflower oil
60,thick soya yogurt
61,brandy
61,sultanas
61,currants
61,raisins
61,glacé cherries
61,candied peel
61,flour
61,cinnamon
61,nutmeg
61,cocoa powder
61,room temperature
61,orange
61,lemon
61,golden caster sugar
61,black treacle
61,eggs
62,nests
62,vegetable stock pot
62,sesame oil
62,the cluck chicken style
62,shredded  ginger
62,frozen  sweetcorn edamame
62,spring greens
62,carrot
62,chilli oil
63,raw cashews
63,1cm cubes
63,1cm cubes
63,olive oil
63,nutritional yeast
63,lemon juice
63,garlic
63,dijon mustard
63,white wine vinegar
63,cayenne pepper
63,macaroni
63,panko breadcrumbs
64,bourbon
64,rosso vermouth
64,bitters
64,ice
64,maraschino cherry
64,a twist
65,lamb leg
65,flour
65,olive oil
65,garlic
65,chopped parsley
65,white wine
65,small chunks
65,100-150g peas
66,300g/10oz  mackerel
66,flour
66,paprika
66,extra-virgin olive oil
66,1small  orange
66,harissa paste
66,pine nut
66,coriander very roughly chopped
67,unsalted butter
67,light brown soft sugar
67,caster sugar
67,eggs
67,vanilla bean paste
67,flour
67,instant espresso powder
67,white chocolate
67,walnuts
68,butter
68,caster sugar
68,condensed sweetened milk
68,milk
68,vanilla extract
69,barley
69,apples
69,cinnamon
69,a grating
69,zest 1 large orange
69,natural yogurt
70,couscous
70,pomegranate seeds
70,chopped herbs
70,juice
70,each white wine vinegar
71,plaice fillets
71,olive oil
71,garlic
71,leeks
71,lemon
72,double cream
72,milk
72,bay
72,a few thyme sprigs
72,garlic clove
72,nutmeg
72,salted butter
72,butternut
72,mature double gloucester
73,honey
73,salted  butter
73,dark brown soft sugar
73,caster sugar
73,tahini
73,egg
73,flour
73,bicarbonate
73,sea salt flakes
73,white sesame seeds
74,flour
74,goose fat
74,sunflower oil
75,molasses
75,juice
75,olive oil
75,chilli powder
75,lamb cutlets
75,greek yogurt
76,olive oil
76,chicken thighs skin
76,onions
76,chorizo skin
76,flour
76,dry sherry
76,chicken stock
76,single cream
76,parsley
76,puff
76,egg
77,olive oil
77,red onions
77,fennel seeds
77,butter
77,ciabatta loaf
77,apple
77,milk
77,sausages skins
77,cranberries
77,polenta
77,rosemary sprigs leaves
77,parsley
77,lemon
78,4-5cm pieces
78,olive oil
78,red onions
78,carrots
78,celery sticks
78,garlic
78,coriander
78,cumin seeds
78,fennel seeds
78,tomato purée
78,red
78,chopped tomatoes
79,vegetable oil
79,beef cut
79,onions
79,carrots
79,celery stick
79,thyme
79,bay
79,tomato purée
79,flour
79,vegetable stock
79,ale
79,pumpkin
79,mashed potato
80,oranges
80,caster sugar
80,self-raising flour
80,powder
80,almond
80,poppy seeds
80,eggs
80,caster sugar
80,eggs
80,1 lemon
80,caster sugar
80,unsalted butter
81,olive oil
81,garlic cloves crushed
81,thyme sprigs
81,paprika
81,chorizo ring
81,sherry vinegar
81,cherry tomatoes
81,roasted red peppers
81,spinach
81,chickpeas
81,extra virgin olive oil
82,fennel bulb base
82,butter
82,onion
82,garlic clove
82,rice
82,white wine
82,hot vegetable stock
82,zest 1 lemon
82,parmesan
82,cooked
83,white miso
83,rice wine vinegar
83,honey
83,low sodium soy sauce
83,sesame oil
83,cold-pressed rapeseed oil
83,leeks
83,garlic clove
83,thumb-sized piece ginger half grated
83,pak choi
83,pouch wholegrain rice
83,mackerel fillets
83,red chilli
84,milk chocolate
84,apples
84,sugar strands
84,each white and dark chocolate
84,skewers wooden chopsticks
85,self-raising flour
85,mixed spice
85,golden caster sugar
85,zest 1 orange
85,zest &#189; lemon
85,mixed dried fruit
85,butter
85,marmalade
85,milk
85,white wine vinegar
85,icing sugar
85,demerara sugar
86,ice
86,vodka
86,southern comfort
86,wkd blue
86,orange juice
87,olive oil
87,butter
87,courgettes
87,chilli flakes
87,grated  nutmeg
87,spring onions
87,lemon
87,rice
87,dry white wine
87,warm vegetable
87,broad beans
87,courgette flowers stamen
87,parmesan
87,garlic clove
87,pine nuts
87,basil
87,mint
87,olive oil
87,grated  parmesan
88,olive oil
88,ready-made mini meatballs
88,chopped tomatoes
88,milk
88,oregano
88,pasta
88,thin wholemeal baguette slices
88,cheddar
88,basil
89,harissa paste
89,each ground cumin
89,red onions
89,skinless chicken breasts
89,1cm
89,tomatoes
89,lemons
89,cherry tomato
89,couscous
89,coriander roughly chopped
90,milk
90,nestlé carnation caramel
90,malted milk powder
91,eggs
91,vegetable oil
91,semi-skimmed milk
91,golden caster sugar
91,self-raising flour
91,salt
91,chocolate chips
92,salted butter
92,golden caster sugar
92,eggs
92,lemon
92,self-raising flour
92,ice cream
92,lemons
92,caster sugar
93,flour
93,light brown soft sugar
93,cinnamon
93,nutmeg
93,cardamom
93,porridge oats
93,apricot jam
94,cranberries
94,icing sugar
94,cranberry sauce
94,self-raising flour
94,suet
94,caster sugar
94,zest 1 orange
94,175-200ml milk
94,custard
95,bramley apples
95,braeburn apples
95,raisins
95,nutmeg
95,cinnamon
95,golden caster sugar
95,fine sea salt
95,apple cider vinegar
96,butter
96,olive oil
96,onion
96,beef mince
96,garlic granules
96,worcestershire sauce
96,bloomer loaf
96,mature cheddar
96,swiss cheese
96,dijon mustard
97,sunflower oil
97,garlic bulb
98,basmati rice
98,olive oil
98,onion
98,ginger
98,garlic
98,green chilli
98,each cumin
98,black-eyed bean / peas
98,bay
98,cinnamon stick
98,turmeric
98,pumpkin seeds
99,onion sausages
99,pickled onions
99,stilton
99,jarred pickle
99,extra-mature cheddar
99,flour
99,puff pastry
99,egg
99,celery salt
99,english mustard
100,salt
100,fresh chives
100,chopped fresh parsley
100,chopped fresh sage
100,garlic clove
100,150ml/¼ pint lukewarm milk
100,150ml/¼ pint lukewarm water
100,organic clear honey
100,organic  extra-virgin olive oil
100,sachet dried fast-acting yeast
100,free-range egg
100,fennel seeds
101,white wine vinegar
101,caster sugar
101,bay
101,black peppercorns
101,coriander seeds
101,eggs
102,ghee
102,butter croissants
102,milk
102,condensed milk
102,cardamom pods
102,nutmeg
102,saffron threads
102,ricotta
102,raisins
102,cranberries
102,almonds
102,pistachios
102,edible rose
102,blackberries
103,flour
103,egg
103,olive oil
103,100g fresh or dried breadcrumbs
103,rosemary sprigs
103,turkey
103,fat garlic
103,chopped tomatoes
103,basil leaves
103,ball mozzarella
103,spaghetti
104,ancho chillies
104,black peppercorns
104,cumin seeds
104,coriander seeds
104,paprika
104,oregano
104,vegetable oil
104,½kg braising steak
104,onions
104,garlic
104,tomato purée
104,smooth peanut butter
104,instant espresso powder
104,apple cider vinegar
104,beef
104,bay
104,cinnamon stick
104,semolina polenta
104,dark chocolate
104,kidney beans
105,cooked rice
105,baby spinach
105,cooked prawn
105,ripe mango
105,red chilli
105,coriander roughly chopped
